index,ROI,Label,R,G,B,alpha,X,Y,Z
23426,Visual2-50_L-Ctx,157,100,0,255,255,-48.8200645446777,-70.0710067749023,-2.31836819648743
23427,Visual2-50_L-Ctx,157,100,0,255,255,-45.3127555847168,-69.4535751342773,-3.1929407119751
23428,Visual2-50_L-Ctx,157,100,0,255,255,-44.1135597229004,-70.0528030395508,-5.08198070526123
23429,Visual2-49_L-Ctx,156,100,0,255,255,-46.9108390808105,-72.0024642944336,-7.64080429077148
23430,Visual2-49_L-Ctx,156,100,0,255,255,-44.0861129760742,-73.7760162353516,-7.35474967956543
23431,Visual2-49_L-Ctx,156,100,0,255,255,-42.0793685913086,-74.8614501953125,-6.48884582519531
23432,Visual2-40_L-Ctx,21,100,0,255,255,-40.714298248291,-75.7724990844727,-5.33331394195557
23433,Visual2-40_L-Ctx,21,100,0,255,255,-39.9043006896973,-76.677848815918,-4.89314985275269
23434,Visual2-40_L-Ctx,21,100,0,255,255,-39.1671447753906,-77.6860504150391,-5.03559112548828
23435,Visual2-40_L-Ctx,21,100,0,255,255,-38.3079414367676,-78.7269668579102,-5.55936861038208
23436,Visual2-40_L-Ctx,21,100,0,255,255,-37.4663200378418,-79.7370376586914,-5.31753206253052
23437,Visual2-40_L-Ctx,21,100,0,255,255,-36.0934181213379,-81.3311309814453,-3.40571594238281
23438,Visual2-40_L-Ctx,21,100,0,255,255,-33.4959716796875,-82.8406982421875,-2.10817503929138
23439,Visual2-32_L-Ctx,6,100,0,255,255,-32.2723045349121,-83.6403656005859,-1.45403957366943
23440,Visual2-32_L-Ctx,6,100,0,255,255,-31.220287322998,-84.5363311767578,-0.477404683828354
23441,Visual2-32_L-Ctx,6,100,0,255,255,-30.4554233551025,-85.635139465332,0.69355571269989
23442,Visual2-32_L-Ctx,6,100,0,255,255,-29.7014636993408,-86.6314697265625,1.63233625888824
23443,Visual2-32_L-Ctx,6,100,0,255,255,-29.1607627868652,-87.4589996337891,2.68849515914917
23444,Visual2-31_L-Ctx,5,100,0,255,255,-28.6672496795654,-87.8637847900391,3.74105429649353
23445,Visual2-31_L-Ctx,5,100,0,255,255,-29.1547355651855,-89.6024475097656,5.38994216918945
23446,Visual2-31_L-Ctx,5,100,0,255,255,-30.409366607666,-92.9285507202148,7.07723236083984
23447,Visual2-31_L-Ctx,5,100,0,255,255,-29.0462589263916,-94.6168365478516,9.44334888458252
23448,Visual2-31_L-Ctx,5,100,0,255,255,-25.9670295715332,-92.7360229492188,9.66873741149902
23449,Visual2-31_L-Ctx,5,100,0,255,255,-24.8287754058838,-91.2350387573242,6.94676113128662
23450,Visual2-31_L-Ctx,5,100,0,255,255,-24.8182945251465,-93.0191955566406,6.6197338104248
23451,Visual2-31_L-Ctx,5,100,0,255,255,-26.0733070373535,-94.9431076049805,8.36767101287842
23452,Visual2-31_L-Ctx,5,100,0,255,255,-26.9492015838623,-95.7034530639648,10.6143054962158
23453,Visual2-31_L-Ctx,5,100,0,255,255,-27.4540901184082,-96.7040710449219,12.9627714157104
23454,Visual2-30_L-Ctx,4,100,0,255,255,-25.4398612976074,-98.3353652954102,13.045506477356
23455,Visual2-30_L-Ctx,4,100,0,255,255,-22.2555713653564,-100.431365966797,11.4325609207153
23456,Visual2-30_L-Ctx,4,100,0,255,255,-20.122673034668,-98.8293838500977,10.4677467346191
23457,Visual2-30_L-Ctx,4,100,0,255,255,-18.7491436004639,-98.3535079956055,10.5170412063599
23458,Visual2-31_L-Ctx,5,100,0,255,255,-17.402172088623,-99.0374374389648,11.3943061828613
23459,Visual2-31_L-Ctx,5,100,0,255,255,-15.7855033874512,-99.2357635498047,12.4369745254517
23460,Visual2-31_L-Ctx,5,100,0,255,255,-13.9970254898071,-99.4779739379883,13.5015964508057
23461,Visual2-31_L-Ctx,5,100,0,255,255,-13.1334600448608,-99.2063446044922,15.3814496994019
23462,Frontoparietal-45_L-Ctx,133,255,255,0,255,-55.1337814331055,-48.9837799072266,-13.1769018173218
23463,Frontoparietal-45_L-Ctx,133,255,255,0,255,-56.508903503418,-50.8351936340332,-12.2236022949219
23464,Dorsal-Attention-21_L-Ctx,137,0,255,0,255,-59.7488555908203,-52.454460144043,-10.9123792648315
23465,Dorsal-Attention-21_L-Ctx,137,0,255,0,255,-60.3923034667969,-54.8351821899414,-10.9617013931274
23466,Dorsal-Attention-21_L-Ctx,137,0,255,0,255,-60.2394905090332,-57.5515174865723,-11.4759979248047
23467,Visual2-45_L-Ctx,138,100,0,255,255,-58.4023475646973,-59.862419128418,-11.6821174621582
23468,Visual2-45_L-Ctx,138,100,0,255,255,-57.138053894043,-63.1791801452637,-11.6790704727173
23469,Visual2-45_L-Ctx,138,100,0,255,255,-54.589786529541,-66.0397262573242,-10.7716093063354
23470,Visual2-45_L-Ctx,138,100,0,255,255,-51.556022644043,-66.3388824462891,-8.84052276611328
23471,Visual2-45_L-Ctx,138,100,0,255,255,-49.210865020752,-66.4602890014648,-7.11649560928345
23472,Visual2-45_L-Ctx,138,100,0,255,255,-47.7293548583984,-65.6031188964844,-5.28540849685669
23473,Visual2-45_L-Ctx,138,100,0,255,255,-47.1377944946289,-65.3725128173828,-3.81702852249146
23474,Visual2-50_L-Ctx,157,100,0,255,255,-47.0373420715332,-66.1719055175781,-3.42655467987061
23475,Visual2-50_L-Ctx,157,100,0,255,255,-46.9352035522461,-67.2412567138672,-3.86946201324463
23476,Visual2-50_L-Ctx,157,100,0,255,255,-46.068229675293,-67.9553985595703,-4.68492937088013
23477,Visual2-50_L-Ctx,157,100,0,255,255,-44.4250946044922,-68.4394226074219,-4.52881240844727
23478,Visual2-50_L-Ctx,157,100,0,255,255,-43.328010559082,-68.9572372436523,-5.21671581268311
23479,Visual2-50_L-Ctx,157,100,0,255,255,-44.8679084777832,-71.50146484375,-7.8150520324707
23480,Visual2-49_L-Ctx,156,100,0,255,255,-41.1359558105469,-73.3164291381836,-7.42923831939697
23481,Visual2-49_L-Ctx,156,100,0,255,255,-39.1461296081543,-74.1889038085938,-6.32277679443359
23482,Visual2-40_L-Ctx,21,100,0,255,255,-37.753231048584,-74.7680358886719,-5.0083155632019
23483,Visual2-40_L-Ctx,21,100,0,255,255,-36.9553070068359,-75.6266860961914,-4.49116706848145
23484,Visual2-40_L-Ctx,21,100,0,255,255,-36.3368453979492,-76.6892547607422,-4.53075456619263
23485,Visual2-40_L-Ctx,21,100,0,255,255,-35.7463417053223,-77.9838256835938,-4.72939825057983
23486,Visual2-40_L-Ctx,21,100,0,255,255,-35.3054389953613,-80.1180419921875,-4.19188594818115
23487,Visual2-40_L-Ctx,21,100,0,255,255,-34.3296279907227,-82.8647384643555,-3.08058857917786
23488,Visual2-32_L-Ctx,6,100,0,255,255,-33.2898941040039,-84.3298187255859,-2.17657613754272
23489,Visual2-32_L-Ctx,6,100,0,255,255,-32.0549926757813,-85.3602676391602,-1.63840067386627
23490,Visual2-32_L-Ctx,6,100,0,255,255,-30.7858047485352,-86.5175247192383,-1.11425256729126
23491,Visual2-32_L-Ctx,6,100,0,255,255,-30.3646240234375,-87.9984817504883,-0.100470401346684
23492,Visual2-32_L-Ctx,6,100,0,255,255,-31.2003536224365,-89.0508117675781,1.13103222846985
23493,Visual2-31_L-Ctx,5,100,0,255,255,-32.1552505493164,-89.4113311767578,2.54606485366821
23494,Visual2-31_L-Ctx,5,100,0,255,255,-31.8936710357666,-90.0628433227539,3.94619607925415
23495,Visual2-31_L-Ctx,5,100,0,255,255,-30.6348133087158,-90.9629821777344,4.89056205749512
23496,Visual2-31_L-Ctx,5,100,0,255,255,-28.8840599060059,-91.0144119262695,5.03192377090454
23497,Visual2-31_L-Ctx,5,100,0,255,255,-27.0538520812988,-90.0218811035156,4.80940008163452
23498,Visual2-31_L-Ctx,5,100,0,255,255,-26.068489074707,-90.4001083374023,5.25430297851563
23499,Visual2-31_L-Ctx,5,100,0,255,255,-24.9638156890869,-91.0069198608398,4.53240203857422
23500,Visual2-31_L-Ctx,5,100,0,255,255,-25.5042934417725,-93.5187530517578,4.76833343505859
23501,Visual2-31_L-Ctx,5,100,0,255,255,-26.685962677002,-95.8542175292969,6.1920690536499
23502,Visual2-30_L-Ctx,4,100,0,255,255,-27.2504749298096,-97.3241729736328,7.81539821624756
23503,Visual2-30_L-Ctx,4,100,0,255,255,-26.8077030181885,-98.2503662109375,9.30563068389893
23504,Visual2-30_L-Ctx,4,100,0,255,255,-25.1022663116455,-99.8613433837891,9.86540126800537
23505,Visual2-30_L-Ctx,4,100,0,255,255,-21.7243518829346,-99.8351135253906,8.88127517700195
23506,Visual2-30_L-Ctx,4,100,0,255,255,-20.2171478271484,-96.3775329589844,8.13777923583984
23507,Visual2-30_L-Ctx,4,100,0,255,255,-18.841459274292,-95.2293853759766,8.01636981964111
23508,Visual2-30_L-Ctx,4,100,0,255,255,-17.5488719940186,-97.6055603027344,8.77579784393311
23509,Visual2-30_L-Ctx,4,100,0,255,255,-17.2730102539063,-100.402603149414,10.5032997131348
23510,Visual2-30_L-Ctx,4,100,0,255,255,-15.9758195877075,-101.691299438477,12.3860368728638
23511,Visual2-31_L-Ctx,5,100,0,255,255,-13.2319269180298,-101.630592346191,14.0392169952393
23512,Frontoparietal-45_L-Ctx,133,255,255,0,255,-56.003833770752,-50.5043869018555,-14.280818939209
23513,Frontoparietal-45_L-Ctx,133,255,255,0,255,-58.3140106201172,-52.1845893859863,-14.313871383667
23514,Dorsal-Attention-21_L-Ctx,137,0,255,0,255,-60.3180847167969,-54.2847137451172,-14.480507850647
23515,Dorsal-Attention-21_L-Ctx,137,0,255,0,255,-60.7403030395508,-56.95654296875,-14.3416213989258
23516,Visual2-45_L-Ctx,138,100,0,255,255,-59.461254119873,-59.6256942749023,-14.1059808731079
23517,Visual2-45_L-Ctx,138,100,0,255,255,-57.2258949279785,-62.4774513244629,-13.9082489013672
23518,Visual2-45_L-Ctx,138,100,0,255,255,-53.5175704956055,-64.1239395141602,-12.4419870376587
23519,Visual2-45_L-Ctx,138,100,0,255,255,-50.927562713623,-64.5766448974609,-10.5529079437256
23520,Visual2-45_L-Ctx,138,100,0,255,255,-48.980396270752,-64.7789764404297,-8.65454292297363
23521,Visual2-45_L-Ctx,138,100,0,255,255,-46.9452247619629,-64.8720321655273,-7.02554750442505
23522,Visual2-45_L-Ctx,138,100,0,255,255,-45.6882209777832,-64.7694244384766,-5.06177425384521
23523,Visual2-45_L-Ctx,138,100,0,255,255,-45.3348731994629,-64.8980865478516,-3.60582971572876
23524,Visual2-45_L-Ctx,138,100,0,255,255,-44.8546524047852,-65.641357421875,-3.35623383522034
23525,Visual2-50_L-Ctx,157,100,0,255,255,-44.0069465637207,-66.329345703125,-4.0794849395752
23526,Visual2-50_L-Ctx,157,100,0,255,255,-43.0461540222168,-67.0992584228516,-4.70147466659546
23527,Visual2-50_L-Ctx,157,100,0,255,255,-42.4805221557617,-67.8825531005859,-5.29150247573853
23528,Visual2-50_L-Ctx,157,100,0,255,255,-44.2065811157227,-69.9764633178711,-7.30448913574219
23529,Visual2-49_L-Ctx,156,100,0,255,255,-40.1082725524902,-72.8000640869141,-7.92110157012939
23530,Visual2-40_L-Ctx,21,100,0,255,255,-37.6061477661133,-73.7460708618164,-7.28550577163696
23531,Visual2-40_L-Ctx,21,100,0,255,255,-35.9408226013184,-74.1937484741211,-6.95554208755493
23532,Visual2-40_L-Ctx,21,100,0,255,255,-35.1402778625488,-75.2273864746094,-6.66432046890259
23533,Visual2-40_L-Ctx,21,100,0,255,255,-35.2499313354492,-77.0800170898438,-6.54482364654541
23534,Visual2-40_L-Ctx,21,100,0,255,255,-35.918342590332,-79.717643737793,-5.82316207885742
23535,Visual2-40_L-Ctx,21,100,0,255,255,-36.0180625915527,-82.5005187988281,-4.48646211624146
23536,Visual2-40_L-Ctx,21,100,0,255,255,-35.2855224609375,-84.9342346191406,-3.15693998336792
23537,Visual2-32_L-Ctx,6,100,0,255,255,-34.0447273254395,-86.3168869018555,-2.28323197364807
23538,Visual2-32_L-Ctx,6,100,0,255,255,-32.0238838195801,-86.9264602661133,-2.20003175735474
23539,Visual2-32_L-Ctx,6,100,0,255,255,-30.10595703125,-87.5421295166016,-1.97929883003235
23540,Visual2-32_L-Ctx,6,100,0,255,255,-29.2985515594482,-89.5770034790039,-0.434507787227631
23541,Visual2-32_L-Ctx,6,100,0,255,255,-31.0354766845703,-90.9440002441406,0.415644526481628
23542,Visual2-31_L-Ctx,5,100,0,255,255,-33.1555404663086,-91.3832626342773,1.37088906764984
23543,Visual2-31_L-Ctx,5,100,0,255,255,-34.4025535583496,-91.5826263427734,2.80209040641785
23544,Visual2-31_L-Ctx,5,100,0,255,255,-33.5533027648926,-92.8827667236328,4.50445175170898
23545,Visual2-31_L-Ctx,5,100,0,255,255,-31.7988433837891,-94.2630767822266,5.75727891921997
23546,Visual2-31_L-Ctx,5,100,0,255,255,-29.7371807098389,-95.3467102050781,7.4539942741394
23547,Visual2-31_L-Ctx,5,100,0,255,255,-28.1075382232666,-94.7730560302734,5.52996730804443
23548,Visual2-31_L-Ctx,5,100,0,255,255,-26.76194190979,-94.2800598144531,4.06256771087646
23549,Visual2-30_L-Ctx,4,100,0,255,255,-25.549259185791,-93.8152313232422,3.09802031517029
23550,Visual2-30_L-Ctx,4,100,0,255,255,-26.860279083252,-95.9536056518555,4.10402059555054
23551,Visual2-30_L-Ctx,4,100,0,255,255,-27.1731510162354,-98.2786254882813,5.19072723388672
23552,Visual2-30_L-Ctx,4,100,0,255,255,-26.3022022247314,-100.025955200195,6.3789529800415
23553,Visual2-30_L-Ctx,4,100,0,255,255,-23.6852359771729,-100.861923217773,7.09330701828003
