Networks,Diet_1,Diet_2,Difference,StdErr,pValue,Lower,Upper
Vis and Vis,BF,XF,-0.00457137353332039,0.00551762230679196,0.96620828810734,-0.0236866609572286,0.0145439138905878
Vis and Vis,XF,BF,0.00457137353332039,0.00551762230679196,0.96620828810734,-0.0145439138905878,0.0236866609572286
Lmb and Lmb,SF,XF,0.00299785620784041,0.00374195128977496,0.971147413445606,-0.00996578473261754,0.0159614971482984
Lmb and Lmb,XF,SF,-0.00299785620784041,0.00374195128977496,0.971147413445606,-0.0159614971482984,0.00996578473261754
SoM and Vis,BF,XF,0.00294791553522812,0.00373919680052207,0.973271493645632,-0.0100061827343388,0.015902013804795
SoM and Vis,XF,BF,-0.00294791553522812,0.00373919680052207,0.973271493645632,-0.015902013804795,0.0100061827343387
SoM and SoM,SF,UF,0.00266208270609065,0.00383129631194337,0.985614340398761,-0.0106110857235074,0.0159352511356887
SoM and SoM,UF,SF,-0.00266208270609065,0.00383129631194337,0.985614340398761,-0.0159352511356887,0.0106110857235074
Vis and Vis,BF,SF,-0.00367627729678279,0.00551762230679196,0.98836502281027,-0.022791564720691,0.0154390101271254
Vis and Vis,SF,BF,0.00367627729678279,0.00551762230679196,0.98836502281027,-0.0154390101271254,0.022791564720691
Lmb and SoM,SF,UF,0.000942055126384894,0.0015944489843068,0.993761287768941,-0.00458176454142119,0.00646587479419098
Lmb and SoM,UF,SF,-0.000942055126384894,0.0015944489843068,0.993761287768941,-0.00646587479419098,0.00458176454142119
Lmb and Vis,SF,UF,0.000989116469340695,0.00167877703955253,0.99385239476811,-0.00482684987402472,0.00680508281270611
Lmb and Vis,UF,SF,-0.000989116469340695,0.00167877703955253,0.99385239476811,-0.00680508281270611,0.00482684987402472
SoM and SoM,BF,SF,0.00190630983842182,0.00383129631194337,0.99752358795685,-0.0113668585911762,0.0151794782680198
SoM and SoM,SF,BF,-0.00190630983842182,0.00383129631194337,0.99752358795685,-0.0151794782680198,0.0113668585911762
Lmb and SoM,BF,UF,-0.000706506822725879,0.0015944489843068,0.998695043025184,-0.00623032649053196,0.0048173128450802
Lmb and SoM,UF,BF,0.000706506822725879,0.0015944489843068,0.998695043025184,-0.0048173128450802,0.00623032649053196
Vis and Vis,SF,UF,-0.00207405070181656,0.00551762230679196,0.999483741453393,-0.0211893381257248,0.0170412367220916
Vis and Vis,UF,SF,0.00207405070181656,0.00551762230679196,0.999483741453393,-0.0170412367220916,0.0211893381257248
SoM and Vis,BF,SF,-0.00139831770983312,0.00373919680052207,0.999498680469164,-0.0143524159794,0.0115557805597338
SoM and Vis,SF,BF,0.00139831770983312,0.00373919680052207,0.999498680469164,-0.0115557805597338,0.0143524159794
Lmb and SoM,SF,XF,-0.000505390651078652,0.0015944489843068,0.9998059208205,-0.00602921031888473,0.00501842901672743
Lmb and SoM,XF,SF,0.000505390651078652,0.0015944489843068,0.9998059208205,-0.00501842901672743,0.00602921031888473
SoM and Vis,SF,UF,0.00108214957582374,0.00373919680052207,0.999885466552834,-0.0118719486937431,0.0140362478453906
SoM and Vis,UF,SF,-0.00108214957582374,0.00373919680052207,0.999885466552834,-0.0140362478453906,0.0118719486937431
Vis and Vis,UF,XF,0.00117895446527896,0.00551762230679196,0.999980649308594,-0.0179363329586292,0.0202942418891871
Vis and Vis,XF,UF,-0.00117895446527896,0.00551762230679196,0.999980649308594,-0.0202942418891871,0.0179363329586292
Vis and Vis,SF,XF,-0.0008950962365376,0.00551762230679196,0.999996212915741,-0.0200103836604458,0.0182201911873706
Vis and Vis,XF,SF,0.0008950962365376,0.00551762230679196,0.999996212915741,-0.0182201911873706,0.0200103836604458
Lmb and Lmb,UF,XF,-0.000582996262887297,0.00374195128977496,0.999997021504868,-0.0135466372033452,0.0123806446775706
Lmb and Lmb,XF,UF,0.000582996262887297,0.00374195128977496,0.999997021504868,-0.0123806446775706,0.0135466372033452
SoM and Vis,BF,UF,-0.000316168134009377,0.00373919680052207,0.999999922416975,-0.0132702664035762,0.0126379301355575
SoM and Vis,UF,BF,0.000316168134009377,0.00373919680052207,0.999999922416975,-0.0126379301355575,0.0132702664035762
Lmb and Lmb,BF,SF,0.000311515460688815,0.00374195128977496,0.999999929315563,-0.0126521254797691,0.0132751564011468
Lmb and Lmb,SF,BF,-0.000311515460688815,0.00374195128977496,0.999999929315563,-0.0132751564011468,0.0126521254797691
