Networks_age,Diet_1,Diet_2,Difference,StdErr,pValue,Lower,Upper
Lmb and SoM 5M,SF,XF,-0.00271366973133596,0.00372307174411835,0.981744116734146,-0.0156119042482309,0.0101845647855589
Lmb and SoM 5M,XF,SF,0.00271366973133596,0.00372307174411835,0.981744116734146,-0.0101845647855589,0.0156119042482309
Lmb and SoM 5M,SF,UF,0.00269526419567671,0.00372307174411835,0.982347888740828,-0.0102029703212182,0.0155934987125716
Lmb and SoM 5M,UF,SF,-0.00269526419567671,0.00372307174411835,0.982347888740828,-0.0155934987125716,0.0102029703212182
SoM and SoM 3M,BF,UF,0.00549323850286901,0.00765150339783173,0.983061895665731,-0.0210146807678145,0.0320011577735525
SoM and SoM 3M,UF,BF,-0.00549323850286901,0.00765150339783173,0.983061895665731,-0.0320011577735525,0.0210146807678145
Lmb and Vis 9M,BF,SF,0.00598210574728065,0.00837907823125753,0.983525159100768,-0.0230464286162874,0.0350106401108487
Lmb and Vis 9M,SF,BF,-0.00598210574728065,0.00837907823125753,0.983525159100768,-0.0350106401108487,0.0230464286162874
Lmb and Vis 7M,SF,UF,0.00353550580846513,0.00506984726985024,0.985349084904701,-0.0140285067987786,0.0210995184157089
Lmb and Vis 7M,UF,SF,-0.00353550580846513,0.00506984726985024,0.985349084904701,-0.0210995184157089,0.0140285067987786
Lmb and Vis 1M,UF,XF,-0.00544124318520583,0.0078214913453565,0.985525450932714,-0.0325380698320858,0.0216555834616741
Lmb and Vis 1M,XF,UF,0.00544124318520583,0.0078214913453565,0.985525450932714,-0.0216555834616741,0.0325380698320858
Vis and Vis 3M,SF,XF,-0.00435100984469383,0.00625881795676707,0.985577371984929,-0.0260341004089482,0.0173320807195605
Vis and Vis 3M,XF,SF,0.00435100984469383,0.00625881795676707,0.985577371984929,-0.0173320807195605,0.0260341004089482
Vis and Vis 9M,BF,XF,-0.00406359673334626,0.00604302444638961,0.987807017600659,-0.0249990908247501,0.0168718973580576
Vis and Vis 9M,XF,BF,0.00406359673334626,0.00604302444638961,0.987807017600659,-0.0168718973580576,0.0249990908247501
Lmb and Vis 1M,BF,SF,-0.0051916467435577,0.0078214913453565,0.988586916343479,-0.0322884733904377,0.0219051799033223
Lmb and Vis 1M,SF,BF,0.0051916467435577,0.0078214913453565,0.988586916343479,-0.0219051799033223,0.0322884733904377
SoM and SoM 9M,BF,XF,0.0074834058908177,0.011591773835478,0.990100867975561,-0.0326752124954651,0.0476420242771005
SoM and SoM 9M,XF,BF,-0.0074834058908177,0.011591773835478,0.990100867975561,-0.0476420242771005,0.0326752124954651
SoM and Vis 1M,SF,UF,0.00634957856215917,0.00989635500365753,0.990410434678928,-0.027935419544921,0.0406345766692393
SoM and Vis 1M,UF,SF,-0.00634957856215917,0.00989635500365753,0.990410434678928,-0.0406345766692393,0.027935419544921
SoM and SoM 7M,SF,UF,-0.00670097328292044,0.0105288812560344,0.990802564848491,-0.0431772995464184,0.0297753529805775
SoM and SoM 7M,UF,SF,0.00670097328292044,0.0105288812560344,0.990802564848491,-0.0297753529805775,0.0431772995464184
Lmb and Vis 3M,BF,SF,0.00467204150276747,0.00734539249189971,0.990831403264849,-0.020775385109098,0.0301194681146329
Lmb and Vis 3M,SF,BF,-0.00467204150276747,0.00734539249189971,0.990831403264849,-0.0301194681146329,0.020775385109098
Lmb and SoM 1M,SF,XF,-0.00328718198032318,0.00529840730995203,0.991942000967007,-0.0216430195109199,0.0150686555502735
Lmb and SoM 1M,XF,SF,0.00328718198032318,0.00529840730995203,0.991942000967007,-0.0150686555502735,0.0216430195109199
SoM and SoM 1M,SF,XF,0.0061314919050652,0.00990061880328701,0.992016468051021,-0.0281682777378149,0.0404312615479453
SoM and SoM 1M,XF,SF,-0.0061314919050652,0.00990061880328701,0.992016468051021,-0.0404312615479453,0.0281682777378149
Lmb and SoM 3M,SF,UF,-0.00185338509397098,0.00303860772285446,0.992626212010148,-0.0123803579024163,0.00867358771447431
Lmb and SoM 3M,UF,SF,0.00185338509397098,0.00303860772285446,0.992626212010148,-0.00867358771447431,0.0123803579024163
Lmb and Lmb 3M,SF,UF,0.00549708131500138,0.00905949734572533,0.992824538175956,-0.0258887015550044,0.0368828641850072
Lmb and Lmb 3M,UF,SF,-0.00549708131500138,0.00905949734572533,0.992824538175956,-0.0368828641850072,0.0258887015550044
Lmb and Vis 1M,SF,UF,0.00464666492844157,0.0078214913453565,0.993578044053637,-0.0224501617184384,0.0317434915753215
Lmb and Vis 1M,UF,SF,-0.00464666492844157,0.0078214913453565,0.993578044053637,-0.0317434915753215,0.0224501617184384
Lmb and Vis 7M,UF,XF,0.00298653404524998,0.00506984726985024,0.993858502945876,-0.0145774785619938,0.0205505466524938
Lmb and Vis 7M,XF,UF,-0.00298653404524998,0.00506984726985024,0.993858502945876,-0.0205505466524938,0.0145774785619938
Lmb and Vis 3M,SF,XF,-0.00429649693824662,0.00734539249189971,0.994083785115517,-0.0297439235501121,0.0211509296736188
Lmb and Vis 3M,XF,SF,0.00429649693824662,0.00734539249189971,0.994083785115517,-0.0211509296736188,0.0297439235501121
Lmb and SoM 7M,BF,SF,0.00363939397741869,0.00632076762348611,0.994557293065617,-0.0182583154243179,0.0255371033791553
Lmb and SoM 7M,SF,BF,-0.00363939397741869,0.00632076762348611,0.994557293065617,-0.0255371033791553,0.0182583154243179
Vis and Vis 3M,SF,UF,0.00359770389943072,0.00625881795676707,0.994605381628941,-0.0180853866648237,0.0252807944636851
Vis and Vis 3M,UF,SF,-0.00359770389943072,0.00625881795676707,0.994605381628941,-0.0252807944636851,0.0180853866648237
Vis and Vis 1M,UF,XF,-0.0107282101950455,0.0187033023055133,0.994665994006133,-0.0755240551201396,0.0540676347300486
Vis and Vis 1M,XF,UF,0.0107282101950455,0.0187033023055133,0.994665994006133,-0.0540676347300486,0.0755240551201396
Lmb and SoM 9M,SF,UF,-0.00125892414627987,0.0022020171775755,0.994758514971647,-0.00888760710450358,0.00636975881194384
Lmb and SoM 9M,UF,SF,0.00125892414627987,0.0022020171775755,0.994758514971647,-0.00636975881194384,0.00888760710450358
Lmb and SoM 5M,BF,UF,-0.00203942728806045,0.00372307174411835,0.995829028077524,-0.0149376618049554,0.0108588072288345
Lmb and SoM 5M,UF,BF,0.00203942728806045,0.00372307174411835,0.995829028077524,-0.0108588072288345,0.0149376618049554
Vis and Vis 9M,BF,UF,-0.00330651065717106,0.00604302444638961,0.995854281131797,-0.0242420047485749,0.0176289834342328
Vis and Vis 9M,UF,BF,0.00330651065717106,0.00604302444638961,0.995854281131797,-0.0176289834342328,0.0242420047485749
Lmb and SoM 1M,SF,UF,0.00285369713322939,0.00529840730995203,0.996191629306662,-0.0155021403973673,0.0212095346638261
Lmb and SoM 1M,UF,SF,-0.00285369713322939,0.00529840730995203,0.996191629306662,-0.0212095346638261,0.0155021403973673
Lmb and SoM 7M,UF,XF,0.00322045247645518,0.00632076762348611,0.997181197468641,-0.0186772569252814,0.0251181618781918
Lmb and SoM 7M,XF,UF,-0.00322045247645518,0.00632076762348611,0.997181197468641,-0.0251181618781918,0.0186772569252814
Lmb and Lmb 3M,BF,SF,0.00451371298381747,0.00905949734572533,0.997505358554134,-0.0268720698861883,0.0358994958538233
Lmb and Lmb 3M,SF,BF,-0.00451371298381747,0.00905949734572533,0.997505358554134,-0.0358994958538233,0.0268720698861883
SoM and Vis 5M,SF,UF,0.0027684793089753,0.00567685122534872,0.997781560564471,-0.0168984418396015,0.0224354004575521
SoM and Vis 5M,UF,SF,-0.0027684793089753,0.00567685122534872,0.997781560564471,-0.0224354004575521,0.0168984418396015
SoM and Vis 5M,UF,XF,0.00275772710986727,0.00567685122534872,0.997828487507971,-0.0169091940387096,0.0224246482584441
SoM and Vis 5M,XF,UF,-0.00275772710986727,0.00567685122534872,0.997828487507971,-0.0224246482584441,0.0169091940387096
Lmb and Vis 9M,BF,UF,-0.00401018314402542,0.00837907823125754,0.997999563386766,-0.0330387175075935,0.0250183512195426
Lmb and Vis 9M,UF,BF,0.00401018314402542,0.00837907823125754,0.997999563386766,-0.0250183512195426,0.0330387175075935
Lmb and Vis 7M,BF,SF,0.00242193743313968,0.00506984726985024,0.998019766431774,-0.0151420751741041,0.0199859500403834
Lmb and Vis 7M,SF,BF,-0.00242193743313968,0.00506984726985024,0.998019766431774,-0.0199859500403834,0.0151420751741041
SoM and Vis 5M,BF,UF,0.00270288422651651,0.00567685122534872,0.998055838431374,-0.0169640369220603,0.0223698053750933
