Networks,age_1,age_2,Difference,StdErr,pValue,Lower,Upper
SoM and SoM,7M,3M,-0.00668602788867952,0.00414870818038245,0.792974815552512,-0.0225189562938367,0.00914690051647763
Lmb and SoM,1M,9M,-0.00309585539551107,0.00195122479317575,0.806023787201715,-0.0105424149291033,0.0043507041380812
Lmb and SoM,9M,1M,0.00309585539551107,0.00195122479317575,0.806023787201715,-0.0043507041380812,0.0105424149291033
SoM and Vis,5M,7M,0.00690972932127215,0.00455090224019814,0.839936820496983,-0.0104581129600049,0.0242775716025492
SoM and Vis,7M,5M,-0.00690972932127215,0.00455090224019814,0.839936820496983,-0.0242775716025492,0.0104581129600049
Vis and Vis,3M,9M,0.00513882815902394,0.00344559776641578,0.852499326831056,-0.00801078381093662,0.0182884401289845
Vis and Vis,9M,3M,-0.00513882815902394,0.00344559776641578,0.852499326831056,-0.0182884401289845,0.00801078381093662
SoM and SoM,1M,9M,0.00759512044328088,0.00516580263606066,0.862031929011259,-0.0121193978442842,0.0273096387308459
SoM and SoM,9M,1M,-0.00759512044328088,0.00516580263606066,0.862031929011259,-0.0273096387308459,0.0121193978442842
Vis and Vis,3M,7M,0.00790946765421835,0.00571302488670073,0.897368955358952,-0.0138934430531998,0.0297123783616365
Vis and Vis,7M,3M,-0.00790946765421835,0.00571302488670073,0.897368955358952,-0.0297123783616365,0.0138934430531998
Lmb and Vis,5M,7M,0.00414018376187242,0.00320114776808619,0.928600704425965,-0.00807652110691038,0.0163568886306552
Lmb and Vis,7M,5M,-0.00414018376187242,0.00320114776808619,0.928600704425965,-0.0163568886306552,0.00807652110691038
SoM and Vis,7M,9M,-0.00587744135950729,0.00535662852940896,0.97350418209345,-0.026320218318415,0.0145653355994004
SoM and Vis,9M,7M,0.00587744135950729,0.00535662852940896,0.97350418209345,-0.0145653355994004,0.026320218318415
SoM and SoM,5M,9M,0.00406901707661864,0.00371666718656822,0.973882430502288,-0.0101150910631124,0.0182531252163497
